36034 instructions, 897 bytes of output, saving as 'prog-9536.b'
1845400 instructions, 484 bytes of output, saving as 'prog-2332.b'
11586 instructions, 508 bytes of output, saving as 'prog-7917.b'
27530335 instructions, 862253 bytes of output, saving as 'prog-8698.b'
268728 instructions, 4 bytes of output, saving as 'prog-4049.b'
387440 instructions, 315 bytes of output, saving as 'prog-4633.b'
16008 instructions, 483 bytes of output, saving as 'prog-2687.b'
53265 instructions, 36 bytes of output, saving as 'prog-1273.b'
1022370 instructions, 485 bytes of output, saving as 'prog-0603.b'
265288 instructions, 242 bytes of output, saving as 'prog-7914.b'
227965 instructions, 2 bytes of output, saving as 'prog-0572.b'
12967 instructions, 216 bytes of output, saving as 'prog-7786.b'
42175 instructions, 3 bytes of output, saving as 'prog-8662.b'
1074312 instructions, 5 bytes of output, saving as 'prog-9199.b'
20063 instructions, 6 bytes of output, saving as 'prog-0355.b'
143547 instructions, 185 bytes of output, saving as 'prog-7017.b'
11659 instructions, 2 bytes of output, saving as 'prog-9428.b'
13834 instructions, 257 bytes of output, saving as 'prog-3146.b'
141528 instructions, 211 bytes of output, saving as 'prog-2975.b'
28879 instructions, 2 bytes of output, saving as 'prog-6895.b'
22641 instructions, 20 bytes of output, saving as 'prog-6314.b'
71897 instructions, 44 bytes of output, saving as 'prog-7931.b'
1602078 instructions, 753 bytes of output, saving as 'prog-8064.b'
587561 instructions, 241 bytes of output, saving as 'prog-3842.b'
182656 instructions, 64 bytes of output, saving as 'prog-8644.b'
15970 instructions, 119 bytes of output, saving as 'prog-7969.b'
900320 instructions, 32145 bytes of output, saving as 'prog-7729.b'
12680 instructions, 314 bytes of output, saving as 'prog-3399.b'
31400 instructions, 483 bytes of output, saving as 'prog-2410.b'
22293 instructions, 264 bytes of output, saving as 'prog-0859.b'
43871 instructions, 482 bytes of output, saving as 'prog-4613.b'
1530323 instructions, 414 bytes of output, saving as 'prog-9384.b'
10221 instructions, 517 bytes of output, saving as 'prog-2009.b'
97359 instructions, 222 bytes of output, saving as 'prog-6197.b'
378198 instructions, 36868 bytes of output, saving as 'prog-6404.b'
37969 instructions, 482 bytes of output, saving as 'prog-2488.b'
18566 instructions, 178 bytes of output, saving as 'prog-6957.b'
850585 instructions, 3 bytes of output, saving as 'prog-9785.b'
99871 instructions, 96 bytes of output, saving as 'prog-0502.b'
12615 instructions, 4 bytes of output, saving as 'prog-4998.b'
31214 instructions, 482 bytes of output, saving as 'prog-5878.b'
1765366 instructions, 244 bytes of output, saving as 'prog-2454.b'
16855 instructions, 965 bytes of output, saving as 'prog-2833.b'
376286 instructions, 208 bytes of output, saving as 'prog-1353.b'
14138 instructions, 485 bytes of output, saving as 'prog-9694.b'
15411 instructions, 6 bytes of output, saving as 'prog-9353.b'
10326 instructions, 483 bytes of output, saving as 'prog-0967.b'
192563 instructions, 3 bytes of output, saving as 'prog-9227.b'
303538 instructions, 157 bytes of output, saving as 'prog-2468.b'
198395 instructions, 967 bytes of output, saving as 'prog-4221.b'
443934 instructions, 313 bytes of output, saving as 'prog-4054.b'
95319 instructions, 106 bytes of output, saving as 'prog-7389.b'
158184 instructions, 212 bytes of output, saving as 'prog-7839.b'
10906 instructions, 313 bytes of output, saving as 'prog-7713.b'
27346 instructions, 197 bytes of output, saving as 'prog-6716.b'
412455 instructions, 1550 bytes of output, saving as 'prog-4507.b'
16366 instructions, 133 bytes of output, saving as 'prog-7570.b'
654048 instructions, 159 bytes of output, saving as 'prog-1375.b'
18325 instructions, 482 bytes of output, saving as 'prog-2527.b'
864862 instructions, 481 bytes of output, saving as 'prog-5128.b'
386979 instructions, 484 bytes of output, saving as 'prog-6569.b'
12214 instructions, 2 bytes of output, saving as 'prog-9753.b'
168892 instructions, 57 bytes of output, saving as 'prog-9903.b'
11249 instructions, 256 bytes of output, saving as 'prog-8217.b'
192611 instructions, 106 bytes of output, saving as 'prog-5984.b'
543848 instructions, 964 bytes of output, saving as 'prog-8663.b'
621891 instructions, 74 bytes of output, saving as 'prog-0689.b'
204121 instructions, 2 bytes of output, saving as 'prog-9226.b'
16652 instructions, 6 bytes of output, saving as 'prog-0307.b'
